lat,mmsi,cog,lng,sog,ts,heading
36.01604143,209203000,281.6571429,120.375843,13.2,1648165610,283
36.0160955,209203000,281.15,120.375472,13.2,1648165615,283
36.016168,209203000,280.85,120.374987,13.1,1648165620,283
36.016233,209203000,281.7,120.3745797,13,1648165625,283
36.01628469,209203000,282.0307692,120.3742633,12.97692308,1648165630,283
36.01634315,209203000,281.6846154,120.3739298,12.86153846,1648165635,283
36.01640162,209203000,281.3384615,120.3735964,12.74615385,1648165640,283
36.0164592,209203000,281.74,120.3732482,12.64,1648165645,283
36.0165245,209203000,281.15,120.372859,12.6,1648165650,283
36.01659067,209203000,280.6333333,120.3724747,12.53333333,1648165655,283
36.01664633,209203000,281.3333333,120.37214,12.38333333,1648165660,283
36.016688,209203000,280.5,120.37185,12.3,1648165665,283
36.01675217,209203000,279.5,120.3714525,12.13333333,1648165670,283
36.016803,209203000,281.3666667,120.3711443,11.96666667,1648165675,283
36.0168525,209203000,281.75,120.3708285,11.8,1648165680,283
36.01690557,209203000,280.5285714,120.3704959,11.7,1648165685,283
36.016962,209203000,279.1,120.370168,11.7,1648165690,283
36.01701,209203000,282.2,120.369843,11.5,1648165695,283
36.01707083,209203000,280.2,120.3694713,11.41666667,1648165700,283
36.01711433,209203000,281.3333333,120.369187,11.33333333,1648165705,283
36.0171585,209203000,281.15,120.3688945,11.25,1648165710,283
36.01720357,209203000,280.0571429,120.3686016,11.17142857,1648165715,283
36.017245,209203000,279.7,120.368338,11.1,1648165720,283
36.017297,209203000,281.7,120.367972,10.9,1648165725,283
36.01734343,209203000,280.4142857,120.3676691,10.82857143,1648165730,283
36.0173926,209203000,281.22,120.3673344,10.68,1648165735,283
36.01744,209203000,281,120.367015,10.6,1648165740,283
36.01748271,209203000,280.5,120.3667386,10.51428571,1648165745,283
36.017522,209203000,282,120.36649,10.3,1648165750,283
36.017573,209203000,279.2,120.366142,10.2,1648165755,284
36.01761943,209203000,281.4142857,120.3658941,10.12857143,1648165760,283.2857143
36.0176722,209203000,281.64,120.3655868,10.04,1648165765,283.6
36.0177232,209203000,281.44,120.365313,9.94,1648165770,283.4
36.01777033,209203000,280.5333333,120.3650542,9.883333333,1648165775,283
36.017822,209203000,284.7,120.364775,9.8,1648165780,283
36.017863,209203000,279.3,120.364503,9.7,1648165785,283
36.01791717,209203000,279.55,120.3641938,9.533333333,1648165790,283
36.01794933,209203000,281.8666667,120.363954,9.5,1648165795,283
36.017981,209203000,280.5,120.3637365,9.5,1648165800,283
36.01802429,209203000,278.5428571,120.363415,9.442857143,1648165805,283
36.01806,209203000,280.9,120.363195,9.3,1648165810,283
36.018093,209203000,281.1,120.362933,9.2,1648165815,284
36.01813871,209203000,279.5285714,120.3626737,9.128571429,1648165820,284
36.01818367,209203000,278.9666667,120.3624023,9.066666667,1648165825,284
36.01822811,209203000,279.0777778,120.3621229,9.011111111,1648165830,284
36.0182642,209203000,278.86,120.3618902,8.92,1648165835,284
36.0182982,209203000,278.56,120.3616692,8.82,1648165840,284
36.01833518,209203000,280.5,120.3614305,8.763636364,1648165845,283.6363636
36.01837291,209203000,283,120.3611873,8.718181818,1648165850,283.1818182
36.01841118,209203000,283.5090909,120.3609585,8.645454545,1648165855,283
36.01844982,209203000,282.6909091,120.3607395,8.554545455,1648165860,283
36.01849225,209203000,282.15,120.3605005,8.475,1648165865,283
36.01854038,209203000,282.025,120.3602318,8.4125,1648165870,283
36.01858018,209203000,281.4545455,120.3600071,8.327272727,1648165875,283
36.01861791,209203000,280.7727273,120.3597935,8.236363636,1648165880,283
36.01866033,209203000,280.2333333,120.359541,8.2,1648165885,283
36.01870589,209203000,279.7888889,120.3592627,8.2,1648165890,283
36.018745,209203000,279.94,120.359025,8.12,1648165895,283
36.0187825,209203000,280.24,120.3587975,8.02,1648165900,283
36.01881909,209203000,280.4090909,120.3585887,7.963636364,1648165905,283
36.01885545,209203000,280.5454545,120.3583846,7.918181818,1648165910,283
36.0188925,209203000,281.26,120.3581602,7.87,1648165915,283.3
36.01893,209203000,282.36,120.3579222,7.82,1648165920,283.8
36.0189705,209203000,282.6125,120.357683,7.7625,1648165925,283.625
36.019013,209203000,282.3,120.357443,7.7,1648165930,283
36.01904891,209203000,283.6636364,120.3572507,7.609090909,1648165935,283
36.01908482,209203000,285.0272727,120.3570585,7.518181818,1648165940,283
36.01911927,209203000,284.2454545,120.356868,7.463636364,1648165945,283
36.01915336,209203000,282.9272727,120.356678,7.418181818,1648165950,283
36.01919533,209203000,282.0333333,120.3564697,7.366666667,1648165955,283
36.01924256,209203000,281.4222222,120.3562491,7.311111111,1648165960,283
36.019284,209203000,282.8272727,120.3560395,7.3,1648165965,283.3636364
36.019324,209203000,284.7363636,120.3558327,7.3,1648165970,283.8181818
36.01935964,209203000,285.7727273,120.3556423,7.272727273,1648165975,284
36.01939236,209203000,286.2272727,120.3554627,7.227272727,1648165980,284
36.0194265,209203000,287.025,120.3552675,7.175,1648165985,284
36.01946275,209203000,288.3375,120.3550488,7.1125,1648165990,284
36.01949727,209203000,286.4181818,120.3548548,7.063636364,1648165995,284
36.01953136,209203000,283.6909091,120.3546671,7.018181818,1648166000,284
36.019565,209203000,282.8333333,120.354479,6.966666667,1648166005,284
36.01959833,209203000,283.2222222,120.3542907,6.911111111,1648166010,284
36.019633,209203000,283.38,120.3541038,6.86,1648166015,283.6
36.019668,209203000,283.48,120.3539173,6.81,1648166020,283.1
36.01970591,209203000,283.0272727,120.353728,6.763636364,1648166025,283
36.01974455,209203000,282.4363636,120.353538,6.718181818,1648166030,283
36.0197849,209203000,281.03,120.3533375,6.67,1648166035,283
36.0198264,209203000,279.08,120.35313,6.62,1648166040,283
36.019863,209203000,278.8333333,120.3529373,6.6,1648166045,283
36.01989633,209203000,279.7222222,120.3527546,6.6,1648166050,283
36.0199258,209203000,278.46,120.3525748,6.56,1648166055,283
36.0199543,209203000,276.66,120.3523958,6.51,1648166060,283
36.01998255,209203000,277.8272727,120.3522273,6.536363636,1648166065,283
36.02001073,209203000,279.7363636,120.3520614,6.581818182,1648166070,283
36.0200415,209203000,280.5,120.3518864,6.48,1648166075,283
36.020074,209203000,280.5,120.3517054,6.28,1648166080,283
36.0201044,209203000,280.5,120.3515271,6.26,1648166085,283.3
36.0201334,209203000,280.5,120.3513506,6.36,1648166090,283.8
36.020166,209203000,280.3,120.35115,6.433333333,1648166095,284
36.020201,209203000,279.9666667,120.3509333,6.488888889,1648166100,284
36.0202288,209203000,280.58,120.350776,6.46,1648166105,283.6
36.0202548,209203000,281.43,120.3506335,6.41,1648166110,283.1
36.02028473,209203000,280.9454545,120.3504625,6.4,1648166115,283
36.02031564,209203000,280.1272727,120.3502843,6.4,1648166120,283
36.02034837,209203000,280.4789474,120.3501056,6.415789474,1648166125,283
36.02038232,209203000,281.6105263,120.3499267,6.442105263,1648166130,283
36.02041626,209203000,282.7421053,120.3497477,6.468421053,1648166135,283
36.02045021,209203000,283.8736842,120.3495688,6.494736842,1648166140,283
36.02048427,209203000,283.3727273,120.3493883,6.5,1648166145,283
36.02051836,209203000,282.4636364,120.3492074,6.5,1648166150,283
36.02054918,209203000,281.3909091,120.349036,6.5,1648166155,283
36.02057782,209203000,280.2090909,120.348871,6.5,1648166160,283
36.02060925,209203000,280.025,120.3486903,6.5,1648166165,283
36.02064488,209203000,281.3375,120.3484859,6.5,1648166170,283
36.020679,209203000,282.08,120.3482924,6.5,1648166175,283
36.02071275,209203000,282.68,120.3481017,6.5,1648166180,283
36.0207465,209203000,283.28,120.3479109,6.5,1648166185,283
36.02078025,209203000,283.88,120.3477202,6.5,1648166190,283
36.02081173,209203000,283.1272727,120.3475511,6.5,1648166195,283
36.02084264,209203000,282.0363636,120.3473875,6.5,1648166200,283
36.0208769,209203000,281.48,120.347214,6.53,1648166205,282.7
36.0209134,209203000,281.28,120.347034,6.58,1648166210,282.2
36.0209496,209203000,281.86,120.3468513,6.57,1648166215,282
36.0209856,209203000,282.96,120.3466668,6.52,1648166220,282
36.02102333,209203000,283.1333333,120.346471,6.533333333,1648166225,282
36.02106222,209203000,282.6888889,120.3462677,6.588888889,1648166230,282
36.0210972,209203000,283.68,120.3460814,6.6,1648166235,282
